Изделие;Уровень;Родитель;Компонент;Тип;Единица;Количество
Слойка п/ф с ветчиной и сыром замороженная 1/100 / 44 шт. в коробке;0;;Слойка п/ф с ветчиной и сыром замороженная 1/100 / 44 шт. в коробке;Изделие;;1
Слойка п/ф с ветчиной и сыром замороженная 1/100 / 44 шт. в коробке;1;Слойка п/ф с ветчиной и сыром замороженная 1/100 / 44 шт. в коробке;Гофрокороб 400*400*90 (для слойки);Сырьё;шт;1
Слойка п/ф с ветчиной и сыром замороженная 1/100 / 44 шт. в коробке;1;Слойка п/ф с ветчиной и сыром замороженная 1/100 / 44 шт. в коробке;Пакет в гофрокоорб 400*400*90 (слойка);Сырьё;шт;1
Слойка п/ф с ветчиной и сыром замороженная 1/100 / 44 шт. в коробке;1;Слойка п/ф с ветчиной и сыром замороженная 1/100 / 44 шт. в коробке;п/ф Слойка с ветчиной и сыром 1/100 в цех;П/Ф;шт;44
Слойка п/ф с ветчиной и сыром замороженная 1/100 / 44 шт. в коробке;2;п/ф Слойка с ветчиной и сыром 1/100 в цех; п/ф Тесто слоеное дрожжевое 1кг ;Сырьё;;0,086
Слойка п/ф с ветчиной и сыром замороженная 1/100 / 44 шт. в коробке;2;п/ф Слойка с ветчиной и сыром 1/100 в цех;Начинка п/ф Слойка ветчина, сыр 50/50, зелень кг;П/Ф;кг;0,02
Слойка п/ф с ветчиной и сыром замороженная 1/100 / 44 шт. в коробке;3;Начинка п/ф Слойка ветчина, сыр 50/50, зелень кг;Ветчина;Сырьё;кг;0,43
Слойка п/ф с ветчиной и сыром замороженная 1/100 / 44 шт. в коробке;3;Начинка п/ф Слойка ветчина, сыр 50/50, зелень кг;Сыр;Сырьё;кг;0,21
Слойка п/ф с ветчиной и сыром замороженная 1/100 / 44 шт. в коробке;3;Начинка п/ф Слойка ветчина, сыр 50/50, зелень кг;Сыр Колбасный;Сырьё;кг;0,21
Слойка п/ф с ветчиной и сыром замороженная 1/100 / 44 шт. в коробке;3;Начинка п/ф Слойка ветчина, сыр 50/50, зелень кг;Майонез;Сырьё;кг;0,19
Слойка п/ф с ветчиной и сыром замороженная 1/100 / 44 шт. в коробке;1;Слойка п/ф с ветчиной и сыром замороженная 1/100 / 44 шт. в коробке;Лента чек. весовая 58*80 ВкусВилл;Сырьё;шт;1
Слойка п/ф с ветчиной и сыром замороженная 1/100 / 44 шт. в коробке;1;Слойка п/ф с ветчиной и сыром замороженная 1/100 / 44 шт. в коробке;Скотч прозрачный ВкусВилл;Сырьё;м;1
Слойка п/ф с джемом замороженная 1/100 / 44 шт. в коробке;0;;Слойка п/ф с джемом замороженная 1/100 / 44 шт. в коробке;Изделие;;1
Слойка п/ф с джемом замороженная 1/100 / 44 шт. в коробке;1;Слойка п/ф с джемом замороженная 1/100 / 44 шт. в коробке;п/ф Слойка с джемом 1/100 в цех;П/Ф;шт;44
Слойка п/ф с джемом замороженная 1/100 / 44 шт. в коробке;2;п/ф Слойка с джемом 1/100 в цех; п/ф Тесто слоеное дрожжевое 1кг ;Сырьё;;8
Слойка п/ф с джемом замороженная 1/100 / 44 шт. в коробке;2;п/ф Слойка с джемом 1/100 в цех;Малина тёртая;Сырьё;кг;2
Слойка п/ф с джемом замороженная 1/100 / 44 шт. в коробке;2;п/ф Слойка с джемом 1/100 в цех;Загуститель для ягод;Сырьё;кг;0,14
Слойка п/ф с джемом замороженная 1/100 / 44 шт. в коробке;1;Слойка п/ф с джемом замороженная 1/100 / 44 шт. в коробке;Гофрокороб 400*400*90 (для слойки);Сырьё;шт;1
